,flag,tokenized_without_stopwords
1366,0,"[""n't"", 'know', 'thing', ""'s"", 'wrong', 'everyso', 'often', 'panicks', 'starts', 'goin', 'bout', 'bein', 'good', 'enough', '‰û_']"
1367,0,"['alright', ""'m"", '--', 'good', 'night']"
1368,0,"['try', 'making', 'another', 'butt']"
1369,0,"['hope', 'feeling', 'great', 'pls', 'fill', 'abiola']"
1370,0,"['though', 'shd', 'go', 'n', 'fun', 'bar', 'town', 'something', '‰ûò', 'sound', 'ok']"
1371,0,"['go', 'write', 'msg', 'put', 'dictionary', 'mode', 'cover', 'screen', 'hand', 'press', 'lt', 'gt', 'gently', 'remove', 'ur', 'hand', 'interesting']"
1372,1,"['bears', 'pic', 'nick', 'tom', 'pete', 'dick', 'fact', 'types', 'try', 'gay', 'chat', 'photo', 'upload', 'call', '10p/min', 'stop', 'texts', 'call']"
1373,1,"['new', 'mobiles', 'must', 'go', 'txt', 'nokia', 'collect', 'today', 'å£1', 'www.4-tc.biz', '2optout', '087187262701.50gbp/mtmsg18', 'txtauction']"
1374,0,"[""'re"", 'finally', 'ready', 'fyi']"
1375,0,"['auntie', 'huai', 'juan', 'never', 'pick', 'phone']"
1376,1,"['double', 'mins', 'double', 'txt', '1/2', 'price', 'linerental', 'latest', 'orange', 'bluetooth', 'mobiles', 'call', 'mobileupd8', 'latest', 'offers', 'call2optout/lf56']"
1377,0,"['ya', 'tel', 'wats', 'ur', 'problem']"
1378,1,"['nokia', 'tone', 'ur', 'mob', 'every', 'week', 'txt', 'nok', '1st', 'tone', 'free', 'get', 'txtin', 'tell', 'ur', 'friends', '150p/tone', 'reply', 'hl', '4info']"
1379,0,"['dnt', 'wnt', 'tlk', 'wid', 'u']"
1380,0,"['spend', 'days', 'waiting', 'ideal', 'path', 'appear', 'front', 'us', 'forget', '\\paths', 'made', 'walking', 'waiting', 'goodnight']"
1381,0,"['ok', 'arm', 'feeling', 'weak', 'cuz', 'got', 'shot', 'go', 'another', 'time']"
1382,0,"['please', 'reserve', 'ticket', 'saturday', 'eve', 'chennai', 'thirunelvali', 'tirunelvali', 'chennai', 'sunday', 'eve', 'already', 'see', 'net', 'ticket', 'available', 'want', 'book', 'ticket', 'tackle']"
1383,0,"['storming', 'msg', 'wen', 'u', 'lift', 'phne', 'u', 'say', '\\hello\\', 'u', 'knw', 'wt', 'real', 'meaning', 'hello', ""'s"", 'name', 'girl', 'yes', 'u', 'knw', 'dat', 'girl', 'margaret', 'hello\\', 'girlfrnd', 'f', 'grahmbell', 'invnted', 'telphone', 'moral', 'one', '4get', 'name', 'person', 'bt', 'girlfrnd', 'g', 'n', 'g', 'h']"
1384,0,"[""'s"", 'ok', 'popped', 'ask', 'bout', 'something', 'said', ""'d"", 'around', 'tonght', 'wen', 'girl', 'comes']"
1385,0,"['e', 'best', 'ur', 'exam', 'later']"
1386,0,"['hope', 'ur', 'head', ""n't"", 'hurt', 'much', 'ploughing', 'way', 'pile', 'ironing', 'staying', 'chinky', 'tonight', 'come', 'round', 'like']"
1387,0,"['oh', 'k.i', 'think', 'wi', 'nz', 'players', 'unsold']"
1388,0,"['haha', 'got', 'fast', 'lose', 'weight', 'thk', 'muz', 'go', 'month', 'den', 'got', 'effect', 'geelater', 'go', 'aust', 'put', 'bk', 'e', 'weight']"
1389,0,"['wonder', 'got', 'online', 'love', 'gone', 'net', 'cafe', 'get', 'phone', 'recharged', 'friends', 'net', 'think', 'boytoy']"
1390,0,"['haha', 'kidding', 'papa', 'needs', 'drugs']"
1391,0,"['thk', 'shld', 'b', 'ya', 'wana', 'go', 'lessons', 'haha', 'go', 'one', 'whole', 'stretch']"
1392,0,"['oh', 'ok']"
1393,0,"['r', 'still', 'meeting', 'dinner', 'tonight']"
1394,0,"['thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']"
1395,0,"['shall', 'start', 'hear']"
1396,0,"['wait', 'u', 'lor', 'need', 'feel', 'bad', 'lar']"
1397,0,"['check', 'got', 'detailed', 'message']"
1398,0,"['registered', 'sinco', 'payee', 'log', 'icicibank.com', 'enter', 'urn', 'lt', 'gt', 'confirm', 'beware', 'frauds', 'share', 'disclose', 'urn', 'anyone']"
1399,0,"['decided', 'people', 'care', 'stuff', 'vote', 'caring', 'stuff', 'losers']"
1400,0,"['kaiez', 'enjoy', 'ur', 'tuition', 'gee', 'thk', 'e', 'second', 'option', 'sounds', 'beta', ""'ll"", 'go', 'yan', 'jiu', 'den', 'msg', 'u']"
1401,0,"['registered', 'sinco', 'payee', 'log', 'icicibank.com', 'enter', 'urn', 'lt', 'gt', 'confirm', 'beware', 'frauds', 'share', 'disclose', 'urn', 'anyone']"
1402,0,"['cool', 'fun', 'practicing', 'making', 'babies']"
1403,0,"['actually', 'getting', 'ready', 'leave', 'house']"
1404,0,"['k', 'k', 'special', 'today']"
1405,1,"['urgent', 'important', 'information', 'o2', 'user', 'today', 'lucky', 'day', 'find', 'log', 'onto', 'http', '//www.urawinner.com', 'fantastic', 'surprise', 'awaiting']"
1406,0,"['got', 'ta']"
1407,0,"[""'ve"", 'got', 'ten', 'bucks', 'jay', 'noncomittal']"
1408,0,['hungry']
1409,0,"['pls', 'speak', 'customer', 'machan']"
1410,0,"['somewhere', 'beneath', 'pale', 'moon', 'light', 'someone', 'think', 'u', 'dreams', 'come', 'true', 'goodnite', 'amp', 'sweet', 'dreams']"
1411,0,"['wen', 'ur', 'lovable', 'bcums', 'angry', 'wid', 'u', 'dnt', 'take', 'seriously', 'coz', 'angry', 'childish', 'n', 'true', 'way', 'showing', 'deep', 'affection', 'care', 'n', 'luv', 'kettoda', 'manda', 'nice', 'day', 'da']"
1412,1,"['dear', 'u', ""'ve"", 'invited', 'xchat', 'final', 'attempt', 'contact', 'u', 'txt', 'chat', '150p/msgrcvdhg/suite342/2lands/row/w1j6hl', 'ldn', 'yrs']"
1413,0,"['wats', 'ur', 'opinion', 'abt', 'abt', 'character']"
1414,0,"['jay', 'snickering', 'tells', 'x', 'totally', 'fucking', 'chords', 'speak']"
1415,0,"['hours', 'before.went', 'hair', 'cut']"
1416,0,"['wonder', 'cos', 'dun', 'rem', 'seeing', 'silver', 'car', 'thk', 'saw', 'black', 'one']"
1417,0,"['lmao', 'take', 'pic', 'send']"
1418,0,"['\\speak', 'feel', 'words', 'better', 'silence', 'gud', 'mrng']"
1419,0,"[""'s"", 'currently', 'scotland']"
1420,0,"['work', 'week']"
1421,1,"['congratulations', 'ur', 'awarded', 'either', 'å£500', 'cd', 'gift', 'vouchers', 'free', 'entry', 'å£100', 'weekly', 'draw', 'txt', 'music', 'tncs', 'www.ldew.com', 'win150ppmx3age16']"
1422,0,"['lol', 'great', 'im', 'getting', 'hungry']"
1423,0,"['yes', 'saw', 'message']"
1424,0,"[""'ll"", 'mu', 'like', 'lt', 'gt', 'seconds']"
1425,0,['ok']
1426,0,"['thing', 'r', 'good', 'thanx', 'got', 'exams', 'march', 'ive', 'done', 'revision', 'fran', 'still', 'boyf', 'ive', 'got', 'ta', 'interviw', 'exeter', 'bit', 'worried', 'x']"
1427,0,"['tell', 'make', 'little', 'spreadsheet', 'track', 'whose', 'idea', 'smoke', 'determine', '\\smokes', 'much\\', 'entire', 'month', 'february', ""'ll"", 'come']"
1428,1,"['sale', 'arsenal', 'dartboard', 'good', 'condition', 'doubles', 'trebles']"
1429,0,"[""n't"", 'look', 'back', 'building', 'coat', ""n't"", 'want', 'get', 'sick', 'hurry', 'home', 'wear', 'coat', 'gym']"
1430,0,"['painful', 'personal', 'thought-', '\\i', 'always', 'try', 'keep', 'everybody', 'happy', 'time', 'nobody', 'recognises', 'alone\\']"
1431,0,"['thanks', 'lovely', 'wisheds', 'rock']"
1432,0,"['intrepid', 'duo', 'great', 'time', 'see', 'soon']"
1433,0,"['asked', 'sen', 'come', 'chennai', 'search', 'job']"
1434,0,"['dad', 'went', 'oredi']"
1435,0,"['jus', 'hope', 'true', 'missin', 'cos', ""'m"", 'really', 'missin', ""n't"", 'done', 'anything', 'feel', 'guilty', 'yet']"
1436,0,"['wat', 'late', 'still', 'early', 'mah', 'juz', 'go', 'dinner', 'lor', 'aiya', 'dunno']"
1437,0,"['arms', 'fine', ""'s"", 'cardiff', 'uni']"
1438,0,"['fact', 'leave', 'think', 'addie', 'goes', 'back', 'school', 'tues', 'wed']"
1439,0,"['cool', 'breeze', 'bright', 'sun', 'fresh', 'flower', 'twittering', 'birds', 'waiting', 'wish', 'u', '\\goodmorning', 'amp', 'nice', 'day\\']"
1440,0,"['ya', 'going', 'restaurant']"
1441,0,"['ok.', 'askd', 'u', 'knw', 'tht']"
1442,1,"['free', '1st', 'week', 'entry', 'textpod', 'chance', 'win', '40gb', 'ipod', 'å£250', 'cash', 'every', 'wk', 'txt', 'pod', 'ts', 'cs', 'www.textpod.net', 'custcare']"
1443,0,"['ducking', 'chinchillas']"
1444,0,"['marriage', 'function']"
1445,0,"['looks', 'like', 'u', 'wil', 'b', 'getting', 'headstart', 'im', 'leaving', 'bout', '2.30ish', 'u', 'r', 'desperate', 'company', 'could', 'head', 'earlier-we', 'goin', 'meet', 'rummer']"
1446,0,"['don‰û÷t', 'give', 'flying', 'monkeys', 'wot', 'think', 'certainly', 'don‰û÷t', 'mind', 'friend', 'mine']"
1447,1,"['registered', 'optin', 'subscriber', 'ur', 'draw', 'å£100', 'gift', 'voucher', 'entered', 'receipt', 'correct', 'ans', 'whats', 'no1', 'bbc', 'charts']"
1448,0,"['say', 'thanks2']"
1449,0,"['msg', 'rajini', 'comes']"
1450,0,"['ya', 'ì_', 'taking', 'ure', 'practical', 'lessons', 'start', 'june']"
1451,0,"[""'s"", 'good', 'need', 'drugs']"
1452,0,"['stupid.its', 'possible']"
1453,0,"['ì_', 'decide', 'faster', 'cos', 'sis', 'going', 'home', 'liao']"
1454,1,"['summers', 'finally', 'fancy', 'chat', 'flirt', 'sexy', 'singles', 'yr', 'area', 'get', 'matched', 'reply', 'summer', 'free', 'join', 'optout', 'txt', 'stop', 'help08714742804']"
1455,0,"['u', 'sleeping', 'going', 'take', 'haha', 'got', 'spys', 'wat', 'online', 'checking', 'n', 'replying', 'mails', 'lor']"
1456,1,"['claire', 'havin', 'borin', 'time', 'alone', 'u', 'wan', 'na', 'cum', '2nite', 'chat', 'hope', 'c', 'u', 'luv', 'claire', 'xx', 'callså£1/minmoremobsemspobox45po139wa']"
1457,0,"['fighting', 'world', 'easy', 'u', 'either', 'win', 'lose', 'bt', 'fightng', 'some1', 'close', 'u', 'dificult', 'u', 'lose', 'u', 'lose', 'u', 'win', 'u', 'still', 'lose']"
1458,1,"['bought', 'one', 'ringtone', 'getting', 'texts', 'costing', 'pound', 'offering', 'tones', 'etc']"
1459,0,"['yalru', 'lyfu', 'astne', 'chikku', 'bt', 'innu', 'mundhe', 'lyf', 'ali', 'halla', 'ke', 'bilo', 'marriage', 'program', 'edhae', 'lyf', 'nt', 'yet', 'ovr', 'chikku', 'ali', 'vargu', 'lyfu', 'meow', 'meow', '-d']"
1460,0,"['kinda', 'first', 'one', 'gets', 'twelve', 'aah', 'speak', 'tomo']"
1461,1,"['urgent', 'mobile', '07xxxxxxxxx', 'å£2000', 'bonus', 'caller', 'prize', '02/06/03', '2nd', 'attempt', 'reach', 'call', 'asap']"
1462,0,"['ok', 'good', 'later', 'come', 'find', 'ì_', 'c', 'lucky', 'told', 'ì_', 'go', 'earlier', 'later', 'pple', 'take', 'finish', 'ì_']"
1463,0,"['wat', 'makes', 'u', 'thk', ""'ll"", 'fall', 'actually', 'thk', ""'m"", 'quite', 'prone', 'falls', 'lucky', 'dad', 'home', 'ask', 'come', 'n', 'fetch', 'already']"
1464,1,"['guaranteed', 'latests', 'nokia', 'phone', '40gb', 'ipod', 'mp3', 'player', 'å£500', 'prize', 'txt', 'word', 'collect', 'no:83355', 'tc-llc', 'ny-usa', '150p/mt', 'msgrcvd18+']"
1465,0,"['account', 'refilled', 'successfully', 'inr', 'ltdecimal', 'gt', 'keralacircle', 'prepaid', 'account', 'balance', 'rs', 'ltdecimal', 'gt', 'transaction', 'id', 'kr', 'lt']"
1466,0,"['wont', 'touch', 'permission']"
1467,1,"['hi', 'lucy', 'hubby', 'meetins', 'day', 'fri', 'b', 'alone', 'hotel', 'u', 'fancy', 'cumin', 'pls', 'leave', 'msg', '2day', 'lucy', 'x', 'callså£1/minmobsmorelkpobox177hp51fl']"
1468,0,"['wonders', 'world', '7th', '6th', 'ur', 'style', '5th', 'ur', 'smile', '4th', 'ur', 'personality', '3rd', 'ur', 'nature', '2nd', 'ur', 'sms', '1st', '\\ur', 'lovely', 'friendship\\', 'good', 'morning', 'dear']"
1469,0,"['take', 'small', 'dose', 'tablet', 'fever']"
1470,0,"['oh', 'u', 'must', 'taken', 'real', 'valentine', 'shopping', 'first']"
1471,0,"['sent', 'email', '‰ûò', 'address', 'incomm', 'right']"
1472,0,"['gon', 'na', 'blake', ""'s"", 'night', 'might', 'able', 'get', 'little', 'early']"
1473,0,"['friendship', 'game', 'play', 'word', 'say', ""doesn\\'t"", 'start', 'march', 'ends', 'may', 'tomorrow', 'yesterday', 'today', 'e']"
1474,0,"['nice', 'wait', 'texting', 'right', ""'m"", 'gon', 'na', 'pay', 'ticket', 'ya', 'know']"
1475,0,"[""'m"", 'watching', 'lotr', 'w', 'sis', 'dis', 'aft', 'u', 'wan', 'meet', 'dinner', 'nite']"
1476,0,"['keeping', 'away', 'like']"
1477,0,"['think', 'far', 'find', 'check', 'google', 'maps', 'place', 'dorm']"
1478,0,"['trip', 'ok', 'quite', 'tiring', 'lor', 'uni', 'starts', 'today', ""'s"", 'ok', 'cos', ""'m"", 'taking', 'modules', 'jus', 'concentrating', 'final', 'yr', 'project']"
1479,0,"['always', 'saying', 'welp']"
1480,0,"[""'m"", 'guy', 'browsin', 'compulsory']"
1481,0,['ok']
1482,0,"['purity', 'friendship', 'two', 'smiling', 'reading', 'forwarded', 'message', 'smiling', 'seeing', 'name', 'gud', 'evng', 'musthu']"
1483,0,"['sorry', ""'ll"", 'call', 'later']"
1484,0,"['add', ""n't"", 'really', 'care', 'ca', ""n't"", 'least', 'get', 'dude', 'fuck', 'hey', 'money', 'want']"
1485,0,"['hello', 'lover', 'goes', 'new', 'job', 'happy', 'think', 'wake', 'slave', 'send', 'teasing', 'kiss', 'across', 'sea']"
1486,0,"['told', 'number', 'gautham']"
1487,0,"['tell', 'need', 'investigate', 'anywhere']"
1488,0,"['ok', 'juz', 'receive']"
1489,0,"['cant', 'believe', 'said', 'many', 'things', 'morning', 'really', 'wanted', 'say', 'good', 'morning', 'love', 'beautiful', 'morning', 'see', 'library', 'later']"
1490,1,"['account', 'credited', 'free', 'text', 'messages', 'activate', 'txt', 'word', 'credit', 'cs', 'www.80488.biz']"
1491,0,"['end', 'might', 'still', 'vomit', 'okay', 'everything', 'come']"
1492,0,"['money', 'money', 'aint', 'thing', '....', 'sha']"
1493,0,"['everything', 'weather', 'keep', 'extra', 'warm', 'cold', 'nothing', 'serious', 'pls', 'lots', 'vitamin', 'c']"
1494,0,"['hey', 'gals', 'anyone', 'u', 'going', 'e', 'driving', 'centre', 'tmr']"
1495,0,"[""'m"", 'always', 'yahoo', 'messenger', 'send', 'message', 'i.ll', 'get', 'may', 'send', 'mobile', 'mode', 'sha', 'i.ll', 'get', 'reply']"
1496,0,"[""'m"", 'putting', 'ready', 'lttime', 'gt']"
1497,0,"['time', 'n', 'smile', 'r', 'two', 'crucial', 'things', 'life', 'sometimes', 'time', 'makes', 'us', 'forget', 'smile', 'sometimes', 'someone', ""'s"", 'smile', 'makes', 'us', 'forget', 'time', 'gud', 'noon']"
1498,1,"['sms', 'ac', 'jsco', 'energy', 'high', 'u', 'may', 'know', '2channel', '2day', 'ur', 'leadership', 'skills', 'r', 'strong', 'psychic', 'reply', 'ans', 'w/question', 'end', 'reply', 'end', 'jsco']"
1499,0,"['host-based', 'idps', 'linux', 'systems']"
1500,1,"['hot', 'live', 'fantasies', 'call', '20p', 'per', 'min', 'ntt', 'ltd', 'po', 'box', 'croydon', 'cr9', '5wb', 'national', 'rate', 'call']"
1501,0,"['da', 'whats', 'plan']"
1502,0,"['ill', 'lt', 'gt', 'ok']"
1503,0,"['oh', 'god', ""'m"", 'almost', 'home']"
1504,0,"['total', 'video', 'converter', 'free', 'download', 'type', 'google', 'search']"
1505,1,"['thanks', 'vote', 'sing', 'along', 'stars', 'karaoke', 'mobile', 'free', 'link', 'reply', 'sing']"
1506,0,"['wen', 'ur', 'lovable', 'bcums', 'angry', 'wid', 'u', 'dnt', 'take', 'seriously', 'coz', 'angry', 'childish', 'n', 'true', 'way', 'showing', 'deep', 'affection', 'care', 'n', 'luv', 'kettoda', 'manda', 'nice', 'day', 'da']"
1507,0,"['sounds', 'like', 'something', 'someone', 'testing', 'would', 'sayy']"
1508,0,"['u', 'love', 'someone', 'dont', 'make', 'love', 'u', 'much', 'u', 'love', 'much', 'dont', 'want', 'loved', 'anyone', 'except', 'gud', 'nit']"
1509,0,"['peteis', 'phone', 'still', 'jenny', 'college', 'leanne.what']"
1510,0,"['oops', 'sorry', 'check', ""n't"", 'mind', 'picking', 'tomo', 'half', 'eight', 'station', 'would', 'ok']"
1511,0,"['hey', 'sweet', 'wondering', 'moment', 'might', 'come', 'want', 'send', 'file', 'someone', 'wo', ""n't"", 'go', 'yahoo', 'connection', 'sucks', 'remember', 'set', 'page', 'go', 'download', 'format', 'disc', 'could', 'tell', 'know', 'way', 'download', 'big', 'files', 'download', 'stuff', 'directly', 'internet', 'help', 'would', 'great', 'prey', 'teasing', 'kiss']"
1512,0,"['hows', 'champ', 'leaving', 'glasgow']"
1513,0,"['k', 'best', 'congrats']"
1514,0,"['wonder', ""'ll"", 'get', 'text']"
1515,0,"['need', 'come', 'home', 'give', 'good', 'lovin']"
1516,1,"['brand', 'new', 'mobile', 'music', 'service', 'live', 'free', 'music', 'player', 'arrive', 'shortly', 'install', 'phone', 'browse', 'content', 'top', 'artists']"
1517,0,"['shall', 'ask', 'one', 'thing', 'dont', 'mistake']"
1518,0,"['check', 'wid', 'corect', 'speling', 'i.e', 'sarcasm']"
1519,1,"['urgent', 'mobile', 'awarded', 'å£2000', 'bonus', 'caller', 'prize', '1/08/03', '2nd', 'attempt', 'contact', 'call', '0871-4719-523', 'box95qu', 'bt', 'national', 'rate']"
1520,0,"['angry', 'happen', 'dear']"
1521,0,"['thk', 'u', 'dun', 'haf', 'hint', 'e', 'forum', 'already', 'lor', 'cos', 'told', 'ron', 'n', 'darren', 'going', 'tell', 'shuhui']"
1522,0,"['yup', 'ok', 'thanx']"
1523,0,"['hi', 'cts', 'employee']"
1524,0,"['pls', 'pls', 'find', 'aunt', 'nike']"
1525,0,"['wow', 'love', 'sooo', 'much', 'know', 'barely', 'stand', 'wonder', 'day', 'goes', 'well', 'love', 'think', 'miss']"
1526,0,"['screaming', 'means', 'shouting']"
1527,0,"['hey', 'happen', 'de', 'alright']"
1528,0,"['picked', 'receipt', 'something', 'earlier']"
1529,0,"['think', 'chennai', 'well', 'settled']"
1530,0,"['oh', 'dang', ""n't"", 'mean', 'send', 'lol']"
1531,0,"['unfortunately', ""'ve"", 'found', 'pick', 'sister', 'airport', 'evening', ""n't"", 'think', ""'ll"", 'going', 'try', 'go', 'one', 'th']"
1532,0,"['horrible', 'bf', 'v', 'hungry']"
1533,0,"['remember', 'day']"
1534,1,"['nokia', '7250i', 'get', 'win', 'free', 'auction', 'take', 'part', 'send', 'nokia', 'hg/suite342/2lands', 'row/w1jhl', '16+']"
1535,0,"[""'s"", 'feel', 'mr', 'real', 'valentine', 'yo', 'valentine', 'even', 'tho', 'u', 'hardly', 'play']"
1536,0,"['sounds', 'good', 'fingers', 'makes', 'difficult', 'type']"
1537,0,"['midnight', 'earliest']"
1538,0,"[""'re"", 'sure', ""'m"", 'trying', 'make', 'xavier', 'smoke', ""n't"", 'want', 'smoke', 'told', 'smoke', 'much']"
1539,0,"['k', 'come', 'nordstrom', ""'re"", 'done']"
1540,0,"['u', 'konw', 'waht', 'rael', 'friendship', 'im', 'gving', 'yuo', 'exmpel', 'jsut', 'ese', 'tihs', 'msg', 'evrey', 'splleing', 'tihs', 'msg', 'wrnog', 'bt', 'sitll', 'yuo', 'raed', 'wihtuot', 'ayn', 'mitsake', 'goodnight', 'amp', 'nice', 'sleep', 'sweet', 'dreams']"
1541,0,"['press', 'conference', 'da']"
1542,1,"['hello', 'orange', 'month', ""'s"", 'free', 'access', 'games', 'news', 'sport', 'plus', 'free', 'texts', 'photo', 'messages', 'reply', 'yes', 'terms', 'apply', 'www.orange.co.uk/ow']"
1543,0,"['completed', 'degree', 'use', 'joining', 'finance']"
1544,0,"['good', 'afternoon', 'love', 'job', 'prospects', 'missing', 'lazy', 'bleak', 'hmmm', 'happy', 'filled', 'love']"
1545,0,"['shant', 'disturb', 'u', 'anymore', 'jia']"
1546,0,"['bishan', 'lar', 'nearer', 'need', 'buy', 'early', 'cos', 'buy', 'got', 'ta', 'park', 'car']"
1547,0,"['dont', 'know', 'oh']"
1548,0,"['dude', 'sux', 'snake', 'got', 'old', 'raiden', 'got', 'buff']"
1549,0,"['says', 'hi', 'get', 'ass', 'back', 'south', 'tampa', 'preferably', 'kegger']"
1550,0,"['e', 'msg', 'jus', 'u', 'said', 'thanks', 'gift']"
1551,0,['u']
1552,0,"['ok', 'dear', 'call', 'chechi']"
1553,0,"['yeah', 'totes', 'u', 'wan', 'na']"
1554,0,"['ok', 'found', 'dis', 'pierre', 'cardin', 'one', 'looks', 'normal', 'costs', 'sale']"
1555,0,"['good', 'sleep', 'rhythm', 'person', 'establish', 'rhythm', 'body', 'learn', 'use', 'want', 'know']"
1556,0,"['wat', 'r', 'u']"
1557,0,"['message', 'truro', 'hospital', 'ext', 'phone', 'phone', 'side']"
1558,0,"['single', 'line', 'big', 'meaning', '\\miss', 'anything', 'ur', 'best', 'life\\', ""n't"", 'miss', 'ur', 'best', 'life', 'anything', 'gud', 'nyt']"
1559,0,"['got', 'gas', 'money', 'chance', 'gang', 'want', 'go', 'grand', 'nature', 'adventure']"
1560,0,"['dnt', 'worry', 'use', 'ice', 'pieces', 'cloth', 'pack.also', 'take', 'tablets']"
1561,0,"['dude', 'saw', 'parked', 'car', 'sunroof', 'popped', 'sux']"
1562,0,"['get', 'ready', 'put', 'excellent', 'sub', 'face']"
1563,0,"['tmrw', 'im', 'finishing', 'doors']"
1564,0,"['lt', 'gt', 'g', 'saw', 'days', 'ago', 'guy', 'wants', 'sell', 'wifi', 'lt', 'gt', '3g', 'lt']"
1565,0,['late']
1566,0,"['whatever', 'im', 'pretty', 'pissed']"
1567,0,"['today', 'accept', 'day', 'u', 'accept', 'brother', 'sister', 'lover', 'dear1', 'best1', 'clos1', 'lvblefrnd', 'jstfrnd', 'cutefrnd', 'lifpartnr', 'belovd', 'swtheart', 'bstfrnd', 'rply', 'means', 'enemy']"
1568,0,"['dont', 'much', 'image', 'class']"
1569,0,"['got', 'rumour', 'going', 'buy', 'apartment', 'chennai']"
1570,0,"['near', 'kalainar', 'tv', 'office.thenampet']"
1571,1,"['ur', 'cash-balance', 'currently', 'pounds', 'maximize', 'ur', 'cash-in', 'send', 'go', '150p/msg', 'cc', 'hg/suite342/2lands', 'row/w1j6hl']"
1572,1,"['sms', 'auction', 'brand', 'new', 'nokia', 'auction', 'today', 'auction', 'free', 'join', 'take', 'part', 'txt', 'nokia', 'hg/suite342/2lands', 'row/w1j6hl']"
1573,0,"['sis', 'catching', 'e', 'show', 'e', 'afternoon', ""'m"", 'watching', 'w', 'c', 'u', 'wan', 'watch', 'today', 'tmr', 'lor']"
1574,0,"['sounds', 'gd', 'haha', 'wah', 'u', 'yan', 'jiu', 'fast', 'liao']"
1575,0,"['nosy', 'guess', 'idk', 'reacting', ""'m"", 'freaked']"
1576,0,"['remember', 'hurt', 'days', 'satanic', 'imposter', 'me.need', 'pay', 'priceso', 'it.may', 'destiny', 'keep', 'going', 'u', 'said', 'pray', 'get', 'mind', 'get']"
1577,0,"['make', 'girl', 'happy', ""'s"", 'difficult', 'make', 'girls', 'happy', 'u', 'need', 'friend', 'companion', 'lover', 'chef', 'lt', 'gt', 'good', 'listener', 'lt', 'gt', 'organizer', 'lt']"
1578,0,"['princess', 'bet', 'brothas', 'chasing']"
1579,0,"['shall', 'book', 'chez', 'jules', 'half', 'eight', ""'s"", 'ok']"
1580,0,"['hhahhaahahah', 'rofl', 'wtf', 'nig', 'leonardo', 'room', 'something']"
1581,0,"['yep', 'derek', ""'s"", 'house', 'see', 'sunday', 'lt3']"
1582,0,"[""'s"", 'cool', 'let', 'know', 'kicks', 'around', 'lt', 'gt', ""'ll"", 'day']"
1583,0,"['sorry', ""'ll"", 'call', 'later']"
1584,0,"['wondering', 'would', 'okay', 'call', 'uncle', 'john', 'let', 'know', 'things', 'nigeria', 'r', 'lt', 'gt', 'dollars', '2years', 'sent', 'know', 'strain', 'plan', 'pay', 'back', 'every', 'dime', 'gives', 'every', 'dime', 'expect', 'anything', 'practical', 'something', 'like']"
1585,0,"['charges', 'transfer', 'charges', 'withdraw', 'anyhow', 'like']"
1586,0,"['dont', 'search', 'love', 'let', 'love', 'find', 'u.', 'thats', 'called', 'falling', 'love', 'bcoz', 'u', 'dont', 'force', 'u', 'fall', 'u', 'know', 'smeone', 'hold', 'u', 'bslvyl']"
1587,0,"['let', ""'s"", 'go', 'bill', 'millers']"
1588,0,"['love', 'set', 'soul', 'fire', 'spark', 'flame', 'big', 'rawring', 'flame', 'xoxo']"
1589,0,"['somewhr', 'someone', 'surely', 'made', 'u', 'god', 'decided', 'perfect', 'time', 'make', 'u', 'meet', 'dat', 'person.', 'till', 'den', 'enjoy', 'ur', 'crushes']"
1590,0,"[""'s"", 'honeymoon', 'outfit']"
1591,0,"['help', 'propose', 'going', 'back', 'tomorrow']"
1592,1,"['private', 'account', 'statement', 'shows', 'un-redeemed', 's.', 'i.', 'm.', 'points', 'call', 'identifier', 'code', 'expires', '07/11/04']"
1593,0,"['never', 'blame', 'day', 'ur', 'life', 'good', 'days', 'give', 'u', 'happiness', 'bad', 'days', 'give', 'u', 'experience', 'essential', 'life', 'gods', 'blessings', 'good', 'morning']"
1594,0,"['pls', 'confirm', 'time', 'collect', 'cheque']"
1595,1,"['registered', 'subscriber', 'yr', 'draw', 'å£100', 'gift', 'voucher', 'b', 'entered', 'receipt', 'correct', 'ans', 'next', 'olympics', 'txt', 'ans']"
1596,1,"['urgent', 'mobile', 'number', 'awarded', 'å£2000', 'prize', 'guaranteed', 'call', 'land', 'line', 'claim', 'valid', '12hrs', '150ppm']"
1597,0,"['daddy', 'take', 'good', 'care']"
1598,0,"['yeah', 'probably', 'still', 'got', 'ta', 'check', 'leo']"
1599,0,"['k.then', 'special']"
1600,0,"['carlos', 'taking', 'sweet', 'time', 'usual', 'let', 'know', 'patty', 'done/want', 'smoke', ""'ll"", 'tell', 'haul', 'ass']"
1601,0,"['ok', 'pa', 'nothing', 'problem']"
1602,0,"['heard', 'job', ""'m"", 'going', 'wildlife', 'talk', 'tonight', 'u', 'want2come', 'that2worzels', 'wizzle', 'whatever']"
1603,0,"['god', 'picked', 'flower', 'dippeditinadew', 'lovingly', 'touched', 'itwhichturnedinto', 'u', 'gifted', 'tomeandsaidthis', 'friend', '4u']"
1604,0,"['came', 'hostel']"
1605,0,"['ok', 'prob', ""'ll"", 'come', 'lunch']"
1606,0,"['jus', 'telling', 'u', 'dat', ""'ll"", 'b', 'leaving', 'shanghai', '21st', 'instead', ""'ll"", 'haf', 'time', 'meet', 'cya']"
1607,0,"['freezing', 'home', 'yet', 'remember', 'kiss', 'mom', 'morning', 'love', 'think', 'missing', 'yet']"
